comments,description,duration,event,film_date,languages,main_speaker,published_date,ratings,tags,title,views
79,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",1414,TED2006,1140912000,27,Cameron Sinclair,1153786260,"[{'id': 3, 'name': 'Courageous', 'count': 169}, {'id': 9, 'name': 'Ingenious', 'count': 258}, {'id': 7, 'name': 'Funny', 'count': 18}, {'id': 8, 'name': 'Informative', 'count': 187}, {'id': 10, 'name': 'Inspiring', 'count': 608}, {'id': 22, 'name': 'Fascinating', 'count': 148}, {'id': 1, 'name': 'Beautiful', 'count': 51}, {'id': 11, 'name': 'Longwinded', 'count': 34}, {'id': 21, 'name': 'Unconvincing', 'count': 21}, {'id': 2, 'name': 'Confusing', 'count': 14}, {'id': 24, 'name': 'Persuasive', 'count': 160}, {'id': 23, 'name': 'Jaw-dropping', 'count': 66}, {'id': 26, 'name': 'Obnoxious', 'count': 7}, {'id': 25, 'name': 'OK', 'count': 39}]","['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",My wish: A call for open-source architecture,1211416
55,Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,1538,TED2006,1140912000,20,Jehane Noujaim,1153786260,"[{'id': 1, 'name': 'Beautiful', 'count': 70}, {'id': 3, 'name': 'Courageous', 'count': 96}, {'id': 11, 'name': 'Longwinded', 'count': 16}, {'id': 9, 'name': 'Ingenious', 'count': 20}, {'id': 7, 'name': 'Funny', 'count': 5}, {'id': 10, 'name': 'Inspiring', 'count': 201}, {'id': 8, 'name': 'Informative', 'count': 33}, {'id': 21, 'name': 'Unconvincing', 'count': 14}, {'id': 22, 'name': 'Fascinating', 'count': 41}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 24, 'name': 'Persuasive', 'count': 42}, {'id': 23, 'name': 'Jaw-dropping', 'count': 20}, {'id': 25, 'name': 'OK', 'count': 26}, {'id': 26, 'name': 'Obnoxious', 'count': 1}]","['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",My wish: A global day of film,387877
71,"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.",1550,TED2006,1140652800,24,Larry Brilliant,1153786260,"[{'id': 8, 'name': 'Informative', 'count': 188}, {'id': 3, 'name': 'Courageous', 'count': 86}, {'id': 11, 'name': 'Longwinded', 'count': 9}, {'id': 1, 'name': 'Beautiful', 'count': 16}, {'id': 10, 'name': 'Inspiring', 'count': 240}, {'id': 22, 'name': 'Fascinating', 'count': 83}, {'id': 9, 'name': 'Ingenious', 'count': 57}, {'id': 23, 'name': 'Jaw-dropping', 'count': 70}, {'id': 24, 'name': 'Persuasive', 'count': 111}, {'id': 25, 'name': 'OK', 'count': 11}, {'id': 21, 'name': 'Unconvincing', 'count': 5}, {'id': 26, 'name': 'Obnoxious', 'count': 5}, {'id': 2, 'name': 'Confusing', 'count': 2}, {'id': 7, 'name': 'Funny', 'count': 3}]","['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",My wish: Help me stop pandemics,693341
242,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.",527,TED2006,1139184000,27,Jeff Han,1154391060,"[{'id': 9, 'name': 'Ingenious', 'count': 1014}, {'id': 1, 'name': 'Beautiful', 'count': 277}, {'id': 3, 'name': 'Courageous', 'count': 34}, {'id': 11, 'name': 'Longwinded', 'count': 55}, {'id': 7, 'name': 'Funny', 'count': 104}, {'id': 2, 'name': 'Confusing', 'count': 19}, {'id': 21, 'name': 'Unconvincing', 'count': 32}, {'id': 8, 'name': 'Informative', 'count': 461}, {'id': 10, 'name': 'Inspiring', 'count': 471}, {'id': 22, 'name': 'Fascinating', 'count': 919}, {'id': 23, 'name': 'Jaw-dropping', 'count': 4643}, {'id': 24, 'name': 'Persuasive', 'count': 77}, {'id': 26, 'name': 'Obnoxious', 'count': 23}, {'id': 25, 'name': 'OK', 'count': 188}]","['demo', 'design', 'interface design', 'technology']",The radical promise of the multi-touch interface,4531020
99,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""",1057,TED2006,1140652800,25,Nicholas Negroponte,1154391060,"[{'id': 3, 'name': 'Courageous', 'count': 83}, {'id': 9, 'name': 'Ingenious', 'count': 89}, {'id': 11, 'name': 'Longwinded', 'count': 20}, {'id': 1, 'name': 'Beautiful', 'count': 32}, {'id': 8, 'name': 'Informative', 'count': 104}, {'id': 10, 'name': 'Inspiring', 'count': 216}, {'id': 22, 'name': 'Fascinating', 'count': 67}, {'id': 7, 'name': 'Funny', 'count': 14}, {'id': 21, 'name': 'Unconvincing', 'count': 31}, {'id': 2, 'name': 'Confusing', 'count': 6}, {'id': 25, 'name': 'OK', 'count': 30}, {'id': 24, 'name': 'Persuasive', 'count': 49}, {'id': 23, 'name': 'Jaw-dropping', 'count': 29}, {'id': 26, 'name': 'Obnoxious', 'count': 11}]","['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",One Laptop per Child,358304
325,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",1481,TED2006,1140652800,31,Sirena Huang,1154995860,"[{'id': 1, 'name': 'Beautiful', 'count': 1671}, {'id': 9, 'name': 'Ingenious', 'count': 190}, {'id': 7, 'name': 'Funny', 'count': 190}, {'id': 11, 'name': 'Longwinded', 'count': 29}, {'id': 3, 'name': 'Courageous', 'count': 143}, {'id': 10, 'name': 'Inspiring', 'count': 879}, {'id': 22, 'name': 'Fascinating', 'count': 635}, {'id': 8, 'name': 'Informative', 'count': 22}, {'id': 2, 'name': 'Confusing', 'count': 10}, {'id': 23, 'name': 'Jaw-dropping', 'count': 2280}, {'id': 25, 'name': 'OK', 'count': 95}, {'id': 24, 'name': 'Persuasive', 'count': 41}, {'id': 26, 'name': 'Obnoxious', 'count': 39}, {'id': 21, 'name': 'Unconvincing', 'count': 15}]","['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",An 11-year-old's magical violin,2702470
305,"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",1445,TED2004,1077753600,32,Jennifer Lin,1154995860,"[{'id': 1, 'name': 'Beautiful', 'count': 1107}, {'id': 3, 'name': 'Courageous', 'count': 85}, {'id': 9, 'name': 'Ingenious', 'count': 197}, {'id': 2, 'name': 'Confusing', 'count': 22}, {'id': 11, 'name': 'Longwinded', 'count': 35}, {'id': 10, 'name': 'Inspiring', 'count': 552}, {'id': 22, 'name': 'Fascinating', 'count': 454}, {'id': 21, 'name': 'Unconvincing', 'count': 53}, {'id': 23, 'name': 'Jaw-dropping', 'count': 1997}, {'id': 25, 'name': 'OK', 'count': 68}, {'id': 8, 'name': 'Informative', 'count': 32}, {'id': 24, 'name': 'Persuasive', 'count': 22}, {'id': 7, 'name': 'Funny', 'count': 24}, {'id': 26, 'name': 'Obnoxious', 'count': 31}]","['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']","Improvising on piano, aged 14",1628912
88,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,906,TED2006,1140739200,27,Amy Smith,1155600660,"[{'id': 9, 'name': 'Ingenious', 'count': 321}, {'id': 3, 'name': 'Courageous', 'count': 150}, {'id': 1, 'name': 'Beautiful', 'count': 67}, {'id': 8, 'name': 'Informative', 'count': 279}, {'id': 10, 'name': 'Inspiring', 'count': 515}, {'id': 22, 'name': 'Fascinating', 'count': 159}, {'id': 21, 'name': 'Unconvincing', 'count': 13}, {'id': 7, 'name': 'Funny', 'count': 21}, {'id': 11, 'name': 'Longwinded', 'count': 19}, {'id': 24, 'name': 'Persuasive', 'count': 140}, {'id': 25, 'name': 'OK', 'count': 30}, {'id': 23, 'name': 'Jaw-dropping', 'count': 63}, {'id': 26, 'name': 'Obnoxious', 'count': 4}, {'id': 2, 'name': 'Confusing', 'count': 7}]","['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",Simple designs to save a life,1415724
163,"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.",1170,TED2005,1109289600,22,Ross Lovegrove,1155600660,"[{'id': 1, 'name': 'Beautiful', 'count': 259}, {'id': 7, 'name': 'Funny', 'count': 49}, {'id': 9, 'name': 'Ingenious', 'count': 185}, {'id': 2, 'name': 'Confusing', 'count': 80}, {'id': 3, 'name': 'Courageous', 'count': 79}, {'id': 11, 'name': 'Longwinded', 'count': 119}, {'id': 21, 'name': 'Unconvincing', 'count': 113}, {'id': 8, 'name': 'Informative', 'count': 71}, {'id': 10, 'name': 'Inspiring', 'count': 363}, {'id': 22, 'name': 'Fascinating', 'count': 220}, {'id': 23, 'name': 'Jaw-dropping', 'count': 93}, {'id': 26, 'name': 'Obnoxious', 'count': 210}, {'id': 25, 'name': 'OK', 'count': 68}, {'id': 24, 'name': 'Persuasive', 'count': 22}]","['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']","Organic design, inspired by nature",1074081
84,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.",1201,TEDGlobal 2005,1121299200,32,Jimmy Wales,1156119060,"[{'id': 1, 'name': 'Beautiful', 'count': 104}, {'id': 2, 'name': 'Confusing', 'count': 13}, {'id': 11, 'name': 'Longwinded', 'count': 46}, {'id': 9, 'name': 'Ingenious', 'count': 170}, {'id': 3, 'name': 'Courageous', 'count': 63}, {'id': 8, 'name': 'Informative', 'count': 478}, {'id': 10, 'name': 'Inspiring', 'count': 277}, {'id': 22, 'name': 'Fascinating', 'count': 181}, {'id': 7, 'name': 'Funny', 'count': 19}, {'id': 24, 'name': 'Persuasive', 'count': 73}, {'id': 25, 'name': 'OK', 'count': 68}, {'id': 26, 'name': 'Obnoxious', 'count': 11}, {'id': 23, 'name': 'Jaw-dropping', 'count': 54}, {'id': 21, 'name': 'Unconvincing', 'count': 14}]","['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",The birth of Wikipedia,1106561
108,"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.",1114,TED2006,1140652800,27,Richard Baraniuk,1156119060,"[{'id': 9, 'name': 'Ingenious', 'count': 117}, {'id': 3, 'name': 'Courageous', 'count': 52}, {'id': 1, 'name': 'Beautiful', 'count': 22}, {'id': 7, 'name': 'Funny', 'count': 12}, {'id': 11, 'name': 'Longwinded', 'count': 30}, {'id': 8, 'name': 'Informative', 'count': 320}, {'id': 10, 'name': 'Inspiring', 'count': 258}, {'id': 22, 'name': 'Fascinating', 'count': 111}, {'id': 2, 'name': 'Confusing', 'count': 8}, {'id': 21, 'name': 'Unconvincing', 'count': 26}, {'id': 23, 'name': 'Jaw-dropping', 'count': 26}, {'id': 24, 'name': 'Persuasive', 'count': 120}, {'id': 25, 'name': 'OK', 'count': 69}, {'id': 26, 'name': 'Obnoxious', 'count': 6}]","['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",The birth of the open-source learning revolution,966439
185,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",1136,TED2004,1077580800,26,Ze Frank,1156464660,"[{'id': 7, 'name': 'Funny', 'count': 2799}, {'id': 9, 'name': 'Ingenious', 'count': 387}, {'id': 3, 'name': 'Courageous', 'count': 75}, {'id': 1, 'name': 'Beautiful', 'count': 74}, {'id': 21, 'name': 'Unconvincing', 'count': 137}, {'id': 2, 'name': 'Confusing', 'count': 203}, {'id': 11, 'name': 'Longwinded', 'count': 266}, {'id': 10, 'name': 'Inspiring', 'count': 196}, {'id': 8, 'name': 'Informative', 'count': 61}, {'id': 22, 'name': 'Fascinating', 'count': 177}, {'id': 23, 'name': 'Jaw-dropping', 'count': 80}, {'id': 26, 'name': 'Obnoxious', 'count': 239}, {'id': 25, 'name': 'OK', 'count': 450}, {'id': 24, 'name': 'Persuasive', 'count': 20}]","['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",Nerdcore comedy,6141440
50,"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.",1006,TED2006,1140652800,20,Mena Trott,1156464660,"[{'id': 8, 'name': 'Informative', 'count': 82}, {'id': 7, 'name': 'Funny', 'count': 106}, {'id': 10, 'name': 'Inspiring', 'count': 86}, {'id': 3, 'name': 'Courageous', 'count': 33}, {'id': 1, 'name': 'Beautiful', 'count': 54}, {'id': 11, 'name': 'Longwinded', 'count': 119}, {'id': 21, 'name': 'Unconvincing', 'count': 67}, {'id': 2, 'name': 'Confusing', 'count': 40}, {'id': 22, 'name': 'Fascinating', 'count': 34}, {'id': 9, 'name': 'Ingenious', 'count': 9}, {'id': 25, 'name': 'OK', 'count': 87}, {'id': 24, 'name': 'Persuasive', 'count': 23}, {'id': 26, 'name': 'Obnoxious', 'count': 41}, {'id': 23, 'name': 'Jaw-dropping', 'count': 3}]","['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",Meet the founder of the blog revolution,518624
556,"Anthropologist Helen Fisher takes on a tricky topic – love – and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.",1407,TED2006,1140739200,33,Helen Fisher,1157501460,"[{'id': 7, 'name': 'Funny', 'count': 780}, {'id': 3, 'name': 'Courageous', 'count': 177}, {'id': 1, 'name': 'Beautiful', 'count': 864}, {'id': 9, 'name': 'Ingenious', 'count': 345}, {'id': 21, 'name': 'Unconvincing', 'count': 249}, {'id': 8, 'name': 'Informative', 'count': 2591}, {'id': 10, 'name': 'Inspiring', 'count': 1083}, {'id': 22, 'name': 'Fascinating', 'count': 2106}, {'id': 11, 'name': 'Longwinded', 'count': 245}, {'id': 2, 'name': 'Confusing', 'count': 115}, {'id': 24, 'name': 'Persuasive', 'count': 1513}, {'id': 25, 'name': 'OK', 'count': 394}, {'id': 23, 'name': 'Jaw-dropping', 'count': 207}, {'id': 26, 'name': 'Obnoxious', 'count': 111}]","['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']","Why we love, why we cheat",9260764
117,"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.",1225,TED2004,1075852800,23,Eve Ensler,1157501460,"[{'id': 3, 'name': 'Courageous', 'count': 654}, {'id': 8, 'name': 'Informative', 'count': 154}, {'id': 7, 'name': 'Funny', 'count': 109}, {'id': 11, 'name': 'Longwinded', 'count': 31}, {'id': 21, 'name': 'Unconvincing', 'count': 27}, {'id': 9, 'name': 'Ingenious', 'count': 44}, {'id': 1, 'name': 'Beautiful', 'count': 342}, {'id': 2, 'name': 'Confusing', 'count': 13}, {'id': 10, 'name': 'Inspiring', 'count': 789}, {'id': 22, 'name': 'Fascinating', 'count': 144}, {'id': 24, 'name': 'Persuasive', 'count': 97}, {'id': 23, 'name': 'Jaw-dropping', 'count': 97}, {'id': 25, 'name': 'OK', 'count': 26}, {'id': 26, 'name': 'Obnoxious', 'count': 43}]","['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",Happiness in body and soul,1131864
